"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"100033809",0,NA,NA,NA,NA,NA
"100033810",0,NA,NA,NA,NA,NA
"100033811",0,NA,NA,NA,NA,NA
"100033812",0,NA,NA,NA,NA,NA
"100033813",0,NA,NA,NA,NA,NA
"100033814",0,NA,NA,NA,NA,NA
"100033815",0,NA,NA,NA,NA,NA
"100033816",0,NA,NA,NA,NA,NA
"100033817",0,NA,NA,NA,NA,NA
"100033818",0.170425323334363,-1.35738027785788,4.06378017349985,-0.334019120106309,0.738365130709346,NA
"100033819",0,NA,NA,NA,NA,NA
"100033820",0.253656284884175,-0.0964669951422764,4.05813080038283,-0.0237712877892394,0.981035042600495,NA
"100033821",0.511459725193972,0.541887673461345,3.02731760276976,0.178999280738024,0.857938266460828,NA
"100033822",0.353753536165881,0.105285384682498,3.77991914000549,0.0278538722080559,0.977778698799473,NA
"100036519",0,NA,NA,NA,NA,NA
"100036563",0,NA,NA,NA,NA,NA
"100036564",0,NA,NA,NA,NA,NA
"100036565",0,NA,NA,NA,NA,NA
"100036566",0,NA,NA,NA,NA,NA
"100036567",0.183328212831519,1.19333886991056,4.05655778810265,0.294175242223954,0.768623997910732,NA
"100037417",7.52385102177988,-0.370598373201725,0.893879007257342,-0.414595678154272,0.678437912528438,NA
"100038246",0,NA,NA,NA,NA,NA
"10004",67.3768096148439,-0.479689284778737,0.568094128839101,-0.844383457648085,0.398455163224906,0.64568396200782
"100048912",13.2726903633462,0.939199957133023,0.765240156788275,1.22732706693655,0.219699686332618,NA
"100049076",6.22151442868963,-0.538707799450099,0.929099334175483,-0.579817226893363,0.562037879181354,NA
"100049587",5.54369921237282,-0.13169916574953,1.34769294330756,-0.0977219376294338,0.922153095220887,NA
"100049615",0,NA,NA,NA,NA,NA
"100049716",61.0438639643851,0.607926190106891,0.565867150414341,1.07432670311707,0.282676280898507,0.56745977371338
"10005",427.485231589194,-1.32552619919235,0.554826306000756,-2.38908318667671,0.0168904774483339,0.213309257264752
"10006",626.010082702015,-0.226147562261444,0.45747892621077,-0.494334381989113,0.621070047228788,0.795893125344277
"10007",1551.53457746463,-0.390514886446082,0.421732271189453,-0.925978193095525,0.354457313120137,0.614428466287008
"100073347",3.63386502136418,0.928906515207704,1.23395341570351,0.752788965439276,0.451576738681485,NA
"10008",42.9021468639477,-0.137389426151713,0.643109694202153,-0.2136329577836,0.830833296078481,NA
"10009",74.1474297989772,0.585148959104979,0.568790589394987,1.02875991624157,0.303592506811638,0.578139141507355
"100093630",1612.87264711687,-0.304478044979177,0.491863932400344,-0.619029013762596,0.535897245489843,0.738478338594094
"100093631",7.02600653475783,0.846506113822813,0.887566327758331,0.953738427595355,0.340216063419526,NA
"1001",84.6905604345552,-2.34885788089483,0.668428398236501,-3.51400073230246,0.000441411595966015,0.0721707959404434
"10010",519.83549561149,0.595771171416656,0.47712494334511,1.24866909543593,0.211786128826591,0.510965427018778
"100101115",0,NA,NA,NA,NA,NA
"100101116",0,NA,NA,NA,NA,NA
"100101117",0,NA,NA,NA,NA,NA
"100101118",0,NA,NA,NA,NA,NA
"100101120",0,NA,NA,NA,NA,NA
"100101121",0,NA,NA,NA,NA,NA
"100101266",2.08832407916455,0.308298454162588,1.44855792682127,0.212831291351338,0.831458555885004,NA
"100101267",79.9257297445172,-0.749765939843884,0.459880485912411,-1.63034954256938,0.103027642319402,0.416535331022183
"100101467",112.989505865293,0.361183772701237,0.469945211854292,0.768565704236228,0.44215117158777,0.677886156573615
"100101490",11.6115566841256,0.719151832271254,0.830131527742644,0.866310708890705,0.386319795198163,NA
"100101938",2.08454756926736,3.22536468070427,1.97200814812161,1.63557370884928,0.101928836547158,NA
"10011",1582.72823875657,-0.703244915296559,0.44777923016034,-1.57051704931634,0.116294871125543,0.427139425201332
"100113378",0.341111718589218,-1.35738027785788,4.06378017349985,-0.334019120106309,0.738365130709346,NA
"100113379",0.432698508275369,2.09448705694168,3.46931604910989,0.603717570637316,0.546031430310091,NA
"100113380",0.0916641064157593,0.65472488673851,4.07324214398997,0.160738022340398,0.872299741293492,NA
"100113381",1.46224846336473,0.888241053847817,1.95747895266894,0.453767869451029,0.649995911893261,NA
"100113382",0,NA,NA,NA,NA,NA
"100113384",0,NA,NA,NA,NA,NA
"100113385",0.151617559423235,0.798520679423358,4.06835036396453,0.196276281044097,0.844393925287349,NA
"100113386",8.40452503013732,-0.193314103687459,0.886420025085899,-0.218084089051041,0.827363594150667,NA
"100113389",0,NA,NA,NA,NA,NA
"100113390",0,NA,NA,NA,NA,NA
"100113391",0.0916641064157593,0.65472488673851,4.07324214398997,0.160738022340398,0.872299741293492,NA
"100113392",1.72225444977425,1.00178518709953,1.65129686418231,0.606665711556108,0.544072781738187,NA
"100113393",0.492729278012453,-0.296236735950385,3.41181993940675,-0.0868266031653168,0.930809341206224,NA
"100113402",0.419795618778213,-0.297588625176545,3.58533085419245,-0.0830017193053648,0.933850172525113,NA
"100113407",28.5711831968849,1.06027990119955,0.751144446508984,1.41155260632932,0.158081735585443,NA
"100124412",0.0916641064157593,0.65472488673851,4.07324214398997,0.160738022340398,0.872299741293492,NA
"100124516",0.778018899575303,1.85370574385063,2.3878581885191,0.776304787597231,0.437569046937507,NA
"100124533",0.243281665838994,1.4535662124071,4.04125767476682,0.359681646009116,0.719085219069829,NA
"100124534",8.52270535722066,0.234689054276837,0.919389863131863,0.255266088618139,0.798517589864391,NA
"100124535",0.0916641064157593,0.65472488673851,4.07324214398997,0.160738022340398,0.872299741293492,NA
"100124536",0.151617559423235,0.798520679423358,4.06835036396453,0.196276281044097,0.844393925287349,NA
"100124537",0.651436567682754,-0.762058939487337,2.7626652108711,-0.275841942950102,0.78266946715817,NA
"100124538",0.565324548596592,0.955010402437408,2.89097990346762,0.330341418593713,0.741142000304646,NA
"100124539",0.0916641064157593,0.65472488673851,4.07324214398997,0.160738022340398,0.872299741293492,NA
"100124540",0.183328212831519,1.19333886991056,4.05655778810265,0.294175242223954,0.768623997910732,NA
"100124541",0.364128155211062,-1.04094441569233,3.37164289417952,-0.308735073186226,0.757523061743848,NA
"100124542",0.262089429750122,-0.444196569615168,4.05651911257103,-0.109501904782999,0.912804411057154,NA
"100124692",5.53891035151479,0.937195975300774,1.10309554273458,0.849605441227206,0.395544485779245,NA
"100124700",0.24937029544385,0.798520679423359,4.06835036396453,0.196276281044097,0.844393925287349,NA
"100125288",4.55449654848864,-0.136171791911774,1.07413948935291,-0.126772912886582,0.899120135116716,NA
"100125556",13.6512919905268,-0.944144511924653,0.824906104044603,-1.14454785495635,0.252396503530192,NA
"100126270",2.33068196109094,0.130762033939729,1.60806803886869,0.0813162321363737,0.935190465360848,NA
"100126296",0,NA,NA,NA,NA,NA
"100126297",1.3118930765042,0.317138112561325,2.15961042377939,0.146849685975456,0.883250666026761,NA
"100126299",13.1216429436049,-1.195301398834,0.908640960945338,-1.31548262758309,0.188347752107833,NA
"100126300",0,NA,NA,NA,NA,NA
"100126301",0,NA,NA,NA,NA,NA
"100126302",0,NA,NA,NA,NA,NA
"100126303",0,NA,NA,NA,NA,NA
"100126304",0,NA,NA,NA,NA,NA
"100126306",0,NA,NA,NA,NA,NA
"100126307",0,NA,NA,NA,NA,NA
"100126308",0,NA,NA,NA,NA,NA
"100126309",0.0916641064157593,0.65472488673851,4.07324214398997,0.160738022340398,0.872299741293492,NA
"100126310",0.253656284884175,-0.0964669951422764,4.05813080038283,-0.0237712877892394,0.981035042600495,NA
"100126311",0,NA,NA,NA,NA,NA
"100126313",0.35140902090479,-0.100640113848084,3.82188406430896,-0.0263325920291307,0.978992059238694,NA
"100126314",0,NA,NA,NA,NA,NA
"100126315",0,NA,NA,NA,NA,NA
"100126316",0.341034401859609,1.64052547799076,3.81924383114326,0.429541959225914,0.667528865311809,NA
"100126317",3.43419579778842,1.44758570803375,1.22267472340608,1.18394997485605,0.236432865869302,NA
"100126318",0,NA,NA,NA,NA,NA
"100126319",0,NA,NA,NA,NA,NA
"100126320",0.274992319247278,1.6236529303859,4.03250917281877,0.402640852333375,0.687212451899398,NA
"100126321",0,NA,NA,NA,NA,NA
"100126323",0,NA,NA,NA,NA,NA
"100126324",0,NA,NA,NA,NA,NA
"100126325",0,NA,NA,NA,NA,NA
"100126326",0,NA,NA,NA,NA,NA
"100126327",0.10203872546094,-1.15345578859314,4.07028431889188,-0.28338457420271,0.776882051948718,NA
"100126328",0.45344774636573,-0.656437127211536,3.48573693737538,-0.188320902869339,0.850625100380819,NA
"100126329",0,NA,NA,NA,NA,NA
"100126331",0,NA,NA,NA,NA,NA
"100126332",0,NA,NA,NA,NA,NA
"100126333",0,NA,NA,NA,NA,NA
"100126334",0,NA,NA,NA,NA,NA
"100126335",0,NA,NA,NA,NA,NA
"100126336",0,NA,NA,NA,NA,NA
"100126337",0,NA,NA,NA,NA,NA
"100126338",0,NA,NA,NA,NA,NA
"100126339",0,NA,NA,NA,NA,NA
"100126340",0,NA,NA,NA,NA,NA
"100126341",0,NA,NA,NA,NA,NA
"100126342",0,NA,NA,NA,NA,NA
"100126343",0,NA,NA,NA,NA,NA
"100126344",0.0916641064157593,0.65472488673851,4.07324214398997,0.160738022340398,0.872299741293492,NA
"100126345",0,NA,NA,NA,NA,NA
"100126346",0,NA,NA,NA,NA,NA
"100126347",0,NA,NA,NA,NA,NA
"100126348",0.0916641064157593,0.65472488673851,4.07324214398997,0.160738022340398,0.872299741293492,NA
"100126349",0,NA,NA,NA,NA,NA
"100126350",0.10203872546094,-1.15345578859314,4.07028431889188,-0.28338457420271,0.776882051948718,NA
"100126351",0,NA,NA,NA,NA,NA
"100126354",0,NA,NA,NA,NA,NA
"100126355",0,NA,NA,NA,NA,NA
"100126356",0,NA,NA,NA,NA,NA
"100126447",0.341034401859609,1.64052547799076,3.81924383114326,0.429541959225914,0.667528865311809,NA
"100126582",0.605065305788965,0.438277769731783,2.87445463156468,0.152473364832066,0.878813596581801,NA
"100126693",0.10203872546094,-1.15345578859314,4.07028431889188,-0.28338457420271,0.776882051948718,NA
"100126780",1.60925430899539,0.292101752393307,1.66926053015444,0.174988713335409,0.861088502203193,NA
"100126781",0,NA,NA,NA,NA,NA
"100126784",8.37014614895627,-0.882748718700816,0.877120258300486,-1.00641697685929,0.314215030486664,NA
"100126791",21.1742670052342,-0.0623218295074852,0.684702129051692,-0.0910203530311795,0.927476418803278,NA
"100126793",9.04245200144503,-0.996529021488913,0.88569498420126,-1.12513793039892,0.260530590347793,NA
"100126798",0.24937029544385,0.798520679423359,4.06835036396453,0.196276281044097,0.844393925287349,NA
"100126799",0.784001090718883,-3.18767921214511,2.5793875031325,-1.23582796624155,0.216522517257957,NA
"100126800",0,NA,NA,NA,NA,NA
"100127206",0.524362614691128,2.3911219200005,3.22520979486356,0.741384924419051,0.458460082605827,NA
"100127885",1.325291512427,-0.188072124160846,1.93657907389694,-0.0971156441251796,0.922634557371568,NA
"100127888",0.676057490843971,0.786141827191488,2.77817500492522,0.28297059249248,0.777199379861241,NA
"100127889",1.3714937424273,3.83104156609826,2.30817429562972,1.65977134974249,0.0969604594617609,NA
"100127891",22.4248324610413,0.760419910119517,0.655530530120953,1.16000685731481,0.2460460142076,NA
"100127909",6.6960226003886,1.62924731429172,1.10759174808931,1.47098180995147,0.141296036221268,NA
"100127910",2.5303036004991,1.8274543282432,1.87470825680348,0.974793982803036,0.329662462468976,NA
"100127919",0.0916641064157593,0.65472488673851,4.07324214398997,0.160738022340398,0.872299741293492,NA
"100127946",0.0916641064157593,0.65472488673851,4.07324214398997,0.160738022340398,0.872299741293492,NA
"100127950",0.518273985086272,2.43698682072695,3.22078894868622,0.756642816264322,0.449263882493528,NA
"100127961",0.341111718589218,-1.35738027785788,4.06378017349985,-0.334019120106309,0.738365130709346,NA
"100127974",6.19296628749858,1.02065172116534,1.03364014342137,0.987434290029559,0.323429781213961,NA
"100127983",41.263826459982,0.000980877711545141,0.527219029242154,0.0018604747877843,0.998515556747431,NA
"100127987",0.272464048795303,-1.95417396738267,4.03707614533149,-0.484056752222148,0.62834559288097,NA
"100128002",1.06842844565423,-0.317253980089615,2.22020990553942,-0.14289368734824,0.886374144177826,NA
"100128003",20.5815212609425,0.0305915108811481,0.632541670668341,0.0483628388447913,0.96142707493664,NA
"100128023",0.486563331677989,2.32347438073085,3.28274490985,0.707784017502907,0.479079392978112,NA
"100128028",1.18733346084706,-1.14415337587327,2.12357921027518,-0.538785353678901,0.590034970834814,NA
"100128031",0,NA,NA,NA,NA,NA
"100128054",3.22362588599992,1.01042417127958,1.35046322327385,0.748205618535886,0.454336142555174,NA
"100128055",0.0916641064157593,0.65472488673851,4.07324214398997,0.160738022340398,0.872299741293492,NA
"100128059",2.3751117488055,-0.204694782367287,1.56139589946205,-0.131097297256776,0.895698339188102,NA
"100128064",1.42953278398767,-0.483595479129526,1.90049489127681,-0.254457658028553,0.79914201170035,NA
"100128071",1.34716487924527,0.555434302393164,2.04304902454992,0.271865381456289,0.785725530577056,NA
"100128076",1.07696802898145,3.40670520580259,2.26349512976313,1.5050640759095,0.132307603841095,NA
"100128077",13.2187454997406,-0.665830631574672,0.822052237905548,-0.809961460929901,0.417962325949055,NA
"100128081",4.13001582451481,0.510128899323042,1.09456524019533,0.466056184309315,0.641175284950024,NA
"100128095",0.341111718589218,-1.35738027785788,4.06378017349985,-0.334019120106309,0.738365130709346,NA
"100128098",1.50011005384287,3.88748944117055,2.13036960118493,1.82479577206147,0.06803185412914,NA
"100128105",0.20407745092188,-1.69147726842818,4.05179442348085,-0.417463743625733,0.676339238449147,NA
"100128124",0.341111718589218,-1.35738027785788,4.06378017349985,-0.334019120106309,0.738365130709346,NA
"100128130",13.8273963610876,-0.473459162707156,0.73753645297872,-0.641946795707488,0.520907728690161,NA
"100128131",0.0916641064157593,0.65472488673851,4.07324214398997,0.160738022340398,0.872299741293492,NA
"100128139",1.6405201352923,-0.955052349618895,1.72853094416937,-0.552522564227414,0.580590379299258,NA
"100128155",1.85557166582995,-3.28577247900584,1.90254258403927,-1.72704280396702,0.0841599764225914,NA
"100128160",0.366656425663037,1.94721378845425,4.01676659203271,0.484771455806411,0.627838472705365,NA
"100128164",2.22778017882259,-0.668906932276716,1.569330681863,-0.426237083112807,0.66993509852414,NA
"100128174",0,NA,NA,NA,NA,NA
"100128191",11.8872455119287,0.401434159241571,0.774110712489932,0.518574607952854,0.604057419945131,NA
"100128239",6.88146538329451,-0.531242895306645,0.878456861765395,-0.604745569678892,0.545348064548787,NA
"100128242",0,NA,NA,NA,NA,NA
"100128252",417.089802540002,-0.0314871304431956,0.429383590852494,-0.0733310054552419,0.941542719325829,0.97357885662939
"100128253",0,NA,NA,NA,NA,NA
"100128254",0.24937029544385,0.798520679423359,4.06835036396453,0.196276281044097,0.844393925287349,NA
"100128256",0,NA,NA,NA,NA,NA
"100128260",0,NA,NA,NA,NA,NA
"100128262",0.827597733537598,3.05446510617198,2.47188670762146,1.23568167455016,0.216576911928146,NA
"100128264",0.628745855413159,1.21937747302327,3.06408783237864,0.397957741334284,0.690661336066589,NA
"100128270",0,NA,NA,NA,NA,NA
"100128276",2.84943490297844,0.280225237612591,1.3461281015896,0.208171300548352,0.835095216544585,NA
"100128278",4.78391522003788,-0.0442766177779207,1.13551791408333,-0.0389924432091974,0.968896413478959,NA
"100128285",3.72728543927356,0.879125122924467,1.30735999748632,0.6724430337587,0.50130169444183,NA
"100128288",11.8891943175845,0.0119941151145048,0.720559089922611,0.0166455677018702,0.986719371815885,NA
"100128292",8.78981331517374,0.179111572080209,0.945350538124327,0.189465774712082,0.849727777072562,NA
"100128300",20.0012046597796,-2.04074733017377,0.889399674470637,-2.29452223646068,0.0217605192912012,NA
"100128302",19.3369391131006,-0.890153074717029,0.708197001216355,-1.25692861334933,0.208779486340045,NA
"100128304",0.503026580328025,1.0169867928038,3.05790772020083,0.332576024477616,0.739454343780809,NA
"100128310",0.692520739494008,-1.11171348670647,2.79573921142705,-0.39764563238322,0.690891418553159,NA
"100128326",0,NA,NA,NA,NA,NA
"100128327",1.00830517057335,3.39184626761207,2.88708699968807,1.17483341097048,0.240061370386842,NA
"100128334",0.597035202004876,1.11411446281122,2.81627442489563,0.395598686322093,0.692401106373137,NA
"100128338",18.4915004949505,-0.189219448353996,0.676732998227678,-0.279607243698106,0.779778849027407,NA
"100128340",95.8468927851861,-0.0942244036849333,0.589710581444192,-0.159780757968051,0.873053782244743,0.939217533807175
"100128342",7.38281156136379,-0.319869245542057,0.864534344422453,-0.369990212194224,0.711389783273296,NA
"100128343",2.10443454073021,2.23099652294967,1.65379175576638,1.349019013531,0.177330859026487,NA
"100128346",0.443150444050158,-2.18277886142905,3.4760217222958,-0.627953170553662,0.530034617919171,NA
"100128355",4.0397242544496,2.34158516475839,1.32073029993316,1.77294725870747,0.076237446691057,NA
"100128361",2.82074020931015,-1.56508710633491,1.53630057582853,-1.01873756409344,0.308327574019716,NA
"100128364",1.65554825415957,0.648510308033961,1.66429282802114,0.389661180481711,0.696787105388883,NA
"100128371",0,NA,NA,NA,NA,NA
"100128374",0.253656284884175,-0.0964669951422764,4.05813080038283,-0.0237712877892394,0.981035042600495,NA
"100128378",0.0916641064157593,0.65472488673851,4.07324214398997,0.160738022340398,0.872299741293492,NA
"100128385",0.10203872546094,-1.15345578859314,4.07028431889188,-0.28338457420271,0.776882051948718,NA
"100128398",37.7378574328768,0.106352386191015,0.567337626888521,0.187458721492331,0.851300985412031,NA
"100128406",5.26838777689872,1.08905773048854,1.11117434124816,0.980096182985312,0.327038643145786,NA
"100128460",3.51205950334664,-1.42505344027062,1.28484243934398,-1.10912700003763,0.267375398700458,NA
"100128482",0.193702831876699,-0.240267320034944,4.0630350460359,-0.0591349366452944,0.952844631901559,NA
"100128496",0.366656425663037,1.94721378845425,4.01676659203271,0.484771455806411,0.627838472705365,NA
"100128505",1.05535573408367,2.18019510766442,2.37109247813024,0.919489698429497,0.357839491444406,NA
"100128508",4.02147023975298,0.678183717399604,1.13661889067444,0.596667645561642,0.550729298025768,NA
"100128511",0.565324548596592,0.955010402437408,2.89097990346762,0.330341418593713,0.741142000304646,NA
"100128542",2.41906117870858,0.230810110071707,1.38052222901937,0.167190433605447,0.867220211353956,NA
"100128553",0.253656284884175,-0.0964669951422764,4.05813080038283,-0.0237712877892394,0.981035042600495,NA
"100128554",1.285995582346,2.27457511102261,2.24708272944239,1.01223469933706,0.311425848917637,NA
"100128563",1.19983330926236,-0.280352841620535,2.10584691751693,-0.133130684518658,0.894090028398516,NA
"100128569",2.35437377400275,-0.851396043039569,1.70104706233243,-0.500512926357344,0.61671395660568,NA
"100128573",2.91224968226669,0.0610108323761872,1.43195420247644,0.0426066924980381,0.966015060494652,NA
"100128574",0.844138298917243,-0.00561288401590429,2.43473541678383,-0.00230533633232256,0.998160609362245,NA
"100128590",19.8781722232186,1.23726501429751,0.715885725966983,1.72829960064685,0.0839345246355222,NA
"100128593",0.0916641064157593,0.65472488673851,4.07324214398997,0.160738022340398,0.872299741293492,NA
"100128596",3.46954412707919,0.37617651896107,1.16475626686742,0.322965868192137,0.746721091257176,NA
"100128640",3.37063565695715,1.8207765600877,1.29780015516367,1.40297144582948,0.160625353926519,NA
"100128644",0,NA,NA,NA,NA,NA
"100128653",2.82442813919012,-1.50111647715707,1.4724223116592,-1.01948772799125,0.307971476342057,NA
"100128655",1.15310847010429,2.29571288275222,2.32397972748669,0.987836879814337,0.323232542495764,NA
"100128675",2.33034357244084,0.854881243590345,1.54908729136806,0.551861246524956,0.581043421395118,NA
"100128726",6.05109508968138,2.09615298677425,1.14946726049894,1.82358650725241,0.0682146079471315,NA
"100128731",7538.14539636995,-0.748310432976197,0.531888078754929,-1.40689453827933,0.159458663379102,0.466156935472241
"100128737",50.4827619386457,-0.242871558240456,0.514654456692893,-0.471911891720745,0.636989679644377,NA
"100128750",11.4279775393552,0.0693879472272937,0.723926274132174,0.0958494665917111,0.923640129523708,NA
"100128751",2.5840137904425,4.69960225524772,1.8012145189829,2.60912967651486,0.00907728364860493,NA
"100128770",8.59903875133796,-1.14544727799293,0.934270329936657,-1.22603409451159,0.220185845031301,NA
"100128782",216.960554996978,0.182789148546893,0.419830499612594,0.435387968991212,0.663280841649246,0.823885011211892
"100128785",0,NA,NA,NA,NA,NA
"100128788",6.70960745449371,0.53829332684421,0.929117668971179,0.579359692341518,0.562346495758371,NA
"100128811",5.87972939280999,2.09190814231628,1.09782871241951,1.9054959290561,0.0567156361235749,NA
"100128816",2.22114967412117,-0.332256023529033,1.5355578474503,-0.216374800910772,0.8286956069845,NA
"100128818",0.432775825004977,-0.432165558635892,3.56767165600361,-0.121133781442206,0.903585072458398,NA
"100128822",14.6805215095905,0.97405560171385,0.812982080956128,1.19812677859798,0.230867665247535,NA
"100128840",9.19342209783463,0.695929940396222,0.884979443523777,0.786379780331615,0.431645025564247,NA
"100128881",1.41242122177979,-2.85803441136966,2.02914840824422,-1.40848959088343,0.158986147065553,NA
"100128890",0.10203872546094,-1.15345578859314,4.07028431889188,-0.28338457420271,0.776882051948718,NA
"100128893",31.3763662821706,1.26621225400627,0.774811913333004,1.63421887585519,0.102212900473634,NA
"100128905",0,NA,NA,NA,NA,NA
"100128908",2.11895631520101,1.95111526060235,1.71066000764302,1.14056285403587,0.254051882593104,NA
"100128909",0.30611617638282,-2.11407789872369,4.0292256846234,-0.524685898531715,0.599801561765669,NA
"100128927",10.6281817952857,-1.41064327834503,0.856940795415733,-1.64613854993411,0.0997352372515447,NA
"100128935",0.443150444050158,-2.18277886142905,3.4760217222958,-0.627953170553662,0.530034617919171,NA
"100128946",0,NA,NA,NA,NA,NA
"100128977",0,NA,NA,NA,NA,NA
"100128979",2.9592229290474,0.325778840315878,1.36232116067301,0.239135124462823,0.811000806367909,NA
"100128988",0.151617559423235,0.798520679423358,4.06835036396453,0.196276281044097,0.844393925287349,NA
"100128997",8.77261546227703,-0.959463609191667,0.857312250124956,-1.11915303794134,0.263074856248116,NA
"100128998",0,NA,NA,NA,NA,NA
"100129027",0.84834697162796,1.15529151142242,2.33328953136225,0.495134228261814,0.620505374026392,NA
"100129033",1.63268645099694,-1.98329392164903,2.09330007886925,-0.947448453124006,0.343410310984434,NA
"100129034",47.8869491131056,-1.49744180554328,0.696573048374707,-2.14972687938073,0.0315768249898515,NA
"100129046",84.6904567973035,-0.531116385786174,0.695421803191395,-0.763732720701021,0.445026537452997,0.679563538512281
"100129055",1.29208421195086,2.25599425928138,2.11582159681747,1.06624975502412,0.286310755952193,NA
"100129060",11.4598705469441,0.309418139215597,0.741310706519107,0.4173933230622,0.676390737875721,NA
"100129066",109.94279192803,0.218180012967539,1.76528273156845,0.12359493981663,0.901635999208006,0.952181113246968
"100129075",18.0664844568466,-0.291641137183681,0.65028774069192,-0.448480140304305,0.653806715801551,NA
"100129083",0,NA,NA,NA,NA,NA
"100129085",25.1721651434855,0.999981237244664,0.892240416896397,1.12075312696889,0.262392961191595,NA
"100129094",0,NA,NA,NA,NA,NA
