Geneid	SRR3617193	SRR3617194	SRR3617195	SRR3617196	SRR3617202	SRR3617214
100128644	0	0	0	0	0	0
100128653	1	2	5	1	3	1
100128655	1	1	0	0	8	0
100128675	3	3	1	0	3	3
100128726	8	5	1	0	18	8
100128731	5279	6222	7009	12485	4943	6882
100128737	24	73	22	73	89	59
100128750	9	10	7	15	19	12
100128751	4	0	0	0	14	2
100128770	4	2	8	28	10	5
100128782	183	234	86	316	395	222
100128785	0	0	0	0	0	0
100128788	7	8	1	9	9	10
100128811	7	5	0	2	22	7
100128816	2	1	3	1	3	1
100128818	0	0	1	0	1	0
100128822	13	21	1	9	29	26
100128840	4	13	1	9	30	13
100128881	0	1	2	4	0	1
100128890	0	0	0	1	0	0
100128893	22	33	0	33	100	51
100128905	0	0	0	0	0	0
100128908	4	1	1	0	5	1
100128909	0	0	0	3	0	0
100128927	6	5	12	27	9	4
100128935	0	0	1	1	0	0
100128946	0	0	0	0	0	0
100128977	0	0	0	0	0	0
100128979	5	1	1	7	2	2
100128988	0	0	0	0	0	1
100128997	2	6	9	18	14	7
100128998	0	0	0	0	0	0
100129027	1	0	0	2	1	2
100129033	0	0	3	3	0	2
100129034	17	21	73	69	44	27
100129046	54	41	16	366	123	67
100129055	1	0	1	0	6	1
100129060	11	10	3	22	21	12
100129066	9	288	3	7	250	224
100129075	10	15	15	24	33	16
100129083	0	0	0	0	0	0
100129085	31	41	3	3	40	36
100129094	0	0	0	0	0	0
100129098	0	0	0	0	1	0
100129101	1	4	0	0	5	1
100129104	2	2	1	0	4	2
100129118	36	33	6	12	59	47
100129119	2	1	0	2	2	2
100129128	1	0	0	1	1	0
100129135	0	0	0	0	1	0
100129138	0	3	1	12	23	2
100129144	0	0	0	0	2	0
100129148	0	1	1	2	2	2
100129195	310	534	60	514	601	560
100129196	1	3	3	1	4	2
100129201	2	3	6	3	3	5
100129203	4	8	1	13	25	16
100129204	0	0	0	0	0	0
100129215	0	2	2	12	1	0
100129216	1	1	0	0	3	2
100129223	1	0	0	0	0	0
100129233	7	13	3	17	48	16
100129239	0	0	0	0	0	0
100129250	285	338	7	90	358	347
100129268	0	2	1	2	3	0
100129269	3	1	2	2	5	1
100129271	0	0	0	0	0	0
100129307	0	0	0	0	0	0
100129316	1	1	0	0	0	1
100129345	0	1	0	0	3	0
100129354	0	0	1	5	0	3
100129387	59	109	26	113	186	114
100129396	0	0	0	0	3	1
100129405	14	9	25	39	25	11
100129407	0	0	0	0	0	0
100129409	1	0	0	0	0	0
100129413	0	1	0	0	2	2
100129424	37	31	53	67	39	36
100129427	0	0	2	0	2	0
100129434	1	0	0	2	1	2
100129461	0	0	1	0	0	0
100129463	1	0	0	0	0	0
100129478	3	0	2	2	11	2
100129482	367	445	71	193	781	386
100129484	70	80	6	76	121	90
100129492	4	8	4	4	3	5
100129503	0	0	1	0	0	0
100129515	0	1	1	0	0	0
100129518	3	6	2	15	9	8
100129534	2	2	0	3	1	0
100129543	3	3	0	2	13	2
100129550	28	18	5	36	72	36
100129583	152	229	27	337	566	288
100129596	0	0	0	0	0	0
100129597	1	0	0	0	1	0
100129617	1	5	7	10	9	4
100129620	0	0	0	0	2	0
100129626	0	0	0	0	0	0
100129633	1	6	1	0	6	4
100129637	0	3	6	22	17	9
100129654	2	6	0	0	7	2
100129697	1	1	5	4	3	1
100129699	0	0	0	0	0	0
100129702	1	0	0	0	0	0
100129703	0	0	0	0	0	0
100129716	6	7	5	12	31	7
100129722	0	0	0	1	0	0
100129726	0	0	0	1	1	1
100129744	0	0	0	0	0	0
100129781	2	1	4	0	4	2
100129786	0	0	0	0	0	0
100129792	81	145	16	49	181	152
100129794	44	66	17	76	111	53
100129827	10	11	1	14	8	2
100129831	1	1	0	0	0	1
100129842	130	196	24	115	406	203
100129845	2	0	0	0	3	0
100129858	70	87	21	45	105	88
100129860	0	0	0	0	0	0
100129885	0	0	0	0	0	0
100129890	0	3	0	4	2	0
100129898	0	0	0	0	0	0
100129917	34	33	27	50	43	20
100129924	0	1	0	2	1	0
100129931	0	0	1	3	4	1
100129935	1	0	1	3	1	0
100129940	4	6	0	2	71	8
100129961	7	6	8	29	16	10
100129973	2	8	2	13	18	3
100129979	0	0	0	0	0	0
100129999	0	0	0	0	1	1
10013	81	123	146	527	257	135
100130000	0	2	0	0	6	3
100130009	0	1	0	3	0	1
100130015	3	4	1	9	10	7
100130017	0	0	0	0	3	0
100130027	39	91	34	200	93	85
100130071	0	0	0	0	0	0
100130083	0	0	0	0	0	0
100130093	16	12	14	101	42	27
100130097	1	4	0	6	6	2
100130100	0	0	0	0	0	0
100130111	4	6	4	9	7	3
100130148	0	1	1	1	1	1
100130155	0	0	0	0	1	0
100130156	1	0	0	0	1	0
100130157	0	3	4	8	3	3
100130169	6	9	0	0	14	1
100130172	1	3	0	4	3	2
100130219	21	22	8	25	72	27
100130231	1	0	0	0	12	0
100130232	0	1	0	0	5	2
100130238	0	0	1	0	0	0
100130249	0	1	1	0	1	0
100130255	2	0	0	0	3	1
100130264	0	0	0	2	4	0
100130274	0	0	0	0	0	0
100130275	3	0	2	1	3	4
100130285	0	1	0	3	1	0
100130298	0	8	1	3	10	1
100130301	0	0	0	0	1	1
100130302	0	0	4	0	1	0
100130311	1	2	1	6	8	0
100130331	3	4	55	25	11	8
100130342	1	1	0	5	1	1
100130345	1	2	0	0	0	0
100130348	0	0	0	0	1	1
100130357	12	7	5	25	22	16
100130361	0	0	0	0	0	0
100130370	0	0	0	0	0	0
100130386	0	0	0	0	0	0
100130401	4	4	1	1	21	4
100130417	0	1	0	4	1	0
100130418	2	1	1	10	12	8
100130428	4	6	0	0	21	3
100130449	0	4	0	0	2	9
100130452	0	0	0	0	4	1
100130458	1	2	2	0	1	3
100130466	4	4	0	3	10	4
100130476	6	4	1	5	3	8
100130480	0	0	0	0	0	0
100130502	2	11	0	0	20	11
100130503	3	0	0	0	2	0
100130507	1	0	1	0	4	0
100130519	4	1	1	4	2	0
100130522	1	6	7	28	26	2
100130539	0	0	0	0	0	0
100130547	3	7	0	2	22	7
100130548	0	0	1	0	0	0
100130557	7	5	1	10	19	7
100130579	0	0	1	2	6	0
100130581	21	36	25	71	62	36
100130589	5	5	11	38	10	2
100130613	0	0	0	0	0	0
100130673	0	0	0	1	0	0
100130691	29	30	22	65	67	49
100130698	3	2	0	0	14	2
100130700	0	2	0	0	4	6
100130701	0	0	0	0	0	1
100130717	43	30	2	40	34	30
100130733	3	28	0	0	48	24
100130736	0	0	0	0	0	0
100130742	9	18	4	11	24	16
100130771	4	0	0	3	7	2
100130776	3	10	11	34	17	6
100130800	0	0	0	0	0	0
100130815	0	0	0	0	0	1
100130825	0	0	0	3	0	0
100130827	0	0	0	0	0	0
100130830	0	0	0	0	0	0
100130849	0	0	0	0	0	0
100130855	8	19	3	36	21	12
100130856	161	117	55	126	64	77
100130876	2	3	2	3	7	0
100130880	0	0	0	2	0	0
100130887	4	0	3	6	5	1
100130889	0	0	0	0	0	0
100130894	3	6	6	32	23	6
100130921	0	0	1	0	2	0
100130932	82	72	14	51	100	75
100130933	379	444	128	1574	886	526
100130935	0	1	0	0	2	0
100130938	1	7	0	1	4	13
100130950	17	22	16	58	32	31
100130954	0	0	0	0	0	0
100130958	4	3	0	7	11	2
100130967	7	4	4	2	9	5
100130987	0	0	0	4	3	3
100130988	1	1	0	0	1	0
100130998	2	2	4	6	2	0
100131035	0	0	0	0	1	0
100131060	10	9	12	37	14	10
100131067	216	154	61	171	248	182
100131089	110	168	39	213	365	242
100131091	9	8	9	6	3	4
100131094	0	0	0	0	1	1
100131107	0	0	0	0	0	0
100131117	3	3	4	14	19	2
100131131	0	0	0	0	2	0
100131132	1	2	1	1	3	0
100131137	0	0	0	0	5	1
100131138	0	0	0	0	0	0
100131174	0	0	5	1	0	0
100131176	2	1	0	6	2	3
100131187	2491	2980	618	5400	3977	2949
100131193	1	3	0	9	8	1
100131205	259	236	43	57	136	200
100131208	10	19	1	24	46	11
100131211	4	9	4	9	28	17
100131213	7	6	3	21	23	10
100131244	0	0	0	0	1	0
100131257	5	8	1	6	27	15
100131275	7	2	1	2	28	0
100131283	0	0	0	0	0	0
100131297	0	0	0	0	0	0
100131316	5	11	1	9	13	11
100131320	1	4	2	5	12	2
100131347	5	7	0	13	8	5
100131354	1	1	0	0	3	4
100131366	2	0	1	0	4	2
100131372	1	0	1	0	4	0
100131373	0	0	0	0	0	0
100131378	5	12	26	25	25	23
100131381	5	10	30	18	24	16
100131390	0	0	0	0	0	0
100131395	0	0	0	1	9	1
100131434	9	15	6	58	34	11
100131439	1	0	0	0	2	0
100131450	7	3	3	3	13	5
100131454	3	0	1	5	3	3
100131479	0	1	0	0	0	0
100131496	4	2	8	14	5	2
100131510	0	1	0	1	0	1
100131519	5	5	3	178	5	3
100131530	3	0	3	10	11	10
100131539	0	0	0	0	10	1
100131541	11	15	2	27	21	11
100131551	0	5	3	4	8	3
100131561	0	0	0	0	1	0
100131564	218	308	71	532	1113	417
100131580	0	0	0	0	0	0
100131607	170	308	51	336	318	268
100131608	0	0	0	0	0	0
100131635	0	0	0	0	1	0
100131679	2	4	2	8	14	1
100131691	112	66	47	83	86	61
100131726	1	1	0	0	6	0
100131733	1	3	2	7	1	3
100131738	3	2	0	0	10	1
100131744	0	6	0	5	8	6
100131754	582	393	230	5910	226	198
100131755	103	118	40	208	236	126
100131774	0	0	0	0	0	0
100131801	1696	2643	262	1339	2286	2571
100131814	13	16	4	32	45	15
100131816	0	0	0	1	0	0
100131818	2	3	1	1	6	1
100131823	0	0	0	0	0	0
100131825	0	0	0	0	4	1
100131826	0	0	0	0	5	0
100131827	4	6	1	4	8	2
100131871	0	0	0	0	0	0
100131884	1	0	0	3	2	0
100131897	0	0	1	0	0	0
100131902	0	0	0	0	0	0
100131910	9	5	0	6	21	7
100131980	0	0	0	0	1	2
100131997	0	0	0	4	1	0
100131998	4	18	24	59	24	19
100132024	0	0	0	0	0	0
100132050	0	0	0	0	0	0
100132055	0	0	0	0	1	0
100132057	0	0	0	1	0	1
100132062	0	0	1	1	0	0
100132074	0	0	0	0	2	0
100132077	2	1	1	1	5	6
100132101	1	2	0	4	10	0
100132103	0	0	0	0	0	0
100132111	0	1	2	2	5	1
100132116	1	0	0	1	2	0
100132124	0	0	0	0	0	0
100132143	0	0	0	0	1	0
100132163	6	2	2	3	1	2
100132169	1	0	0	3	2	1
100132174	0	0	0	0	0	0
100132183	13	18	2	9	23	15
100132202	0	0	0	0	0	0
100132215	30	13	6	2	31	18
100132217	0	0	0	0	0	0
100132229	0	0	0	0	0	0
100132234	13	16	4	14	15	9
100132247	10	23	35	83	86	34
100132249	0	0	0	2	1	0
100132257	0	0	0	0	1	0
100132272	11	19	7	22	27	13
100132273	10	4	9	50	22	12
100132285	0	0	0	0	0	0
100132287	0	0	0	0	1	0
100132288	7	5	15	28	3	5
100132292	0	0	0	0	0	0
100132304	0	0	0	0	0	0
100132314	1	2	1	2	1	0
100132330	0	1	0	0	0	0
100132336	0	0	0	0	0	0
100132339	0	1	1	0	0	0
100132341	61	107	103	786	281	114
100132346	2	4	0	0	1	2
100132352	31	20	11	42	33	25
100132354	107	97	56	220	127	84
100132356	27	33	5	35	49	39
100132386	0	0	0	0	0	0
100132396	0	0	0	0	0	0
100132399	0	0	0	0	0	0
100132403	0	0	0	0	0	0
100132406	39	35	120	170	111	43
100132417	0	0	0	0	0	2
100132426	0	0	0	0	0	0
100132439	0	0	0	0	0	0
100132460	0	3	3	4	4	4
100132463	0	0	0	0	0	0
100132464	0	0	0	0	0	0
100132472	0	0	0	0	1	0
100132476	0	0	0	0	0	0
100132481	6	4	2	11	10	5
100132501	5	4	0	0	34	3
100132506	1	1	0	0	0	0
100132526	1	0	0	0	0	0
100132529	4	19	4	25	32	17
100132565	0	0	0	0	0	0
100132581	0	0	0	0	0	0
100132596	0	0	0	0	0	0
100132618	1	0	0	0	17	4
100132625	5	9	0	11	16	11
100132653	0	0	0	0	0	0
100132705	0	0	0	0	0	0
100132707	10	31	18	64	65	52
100132708	1	0	0	0	0	0
100132713	2	1	0	0	0	0
100132724	3	2	0	1	10	6
100132726	12	26	3	10	31	13
100132733	1	0	0	0	3	1
100132738	0	0	0	0	0	0
100132741	0	0	0	0	0	0
100132774	13	19	17	46	15	15
100132781	0	0	0	2	3	0
100132813	4	0	1	4	10	6
100132815	94	123	46	206	163	122
100132831	0	0	0	0	0	1
100132832	0	0	1	2	1	0
100132858	0	0	0	2	2	0
100132859	0	0	0	0	0	0
100132891	12	69	22	25	69	100
100132900	0	0	0	0	0	0
100132909	39	25	10	7	60	24
100132911	9	6	3	6	10	11
100132913	0	0	0	1	0	1
100132916	1433	649	25	1425	1182	626
100132923	4	1	1	3	1	1
100132929	0	0	0	0	0	0
100132932	0	0	0	0	0	1
100132939	0	0	0	0	0	0
100132941	0	0	0	0	0	0
100132948	3	0	0	1	1	0
100132963	1	0	0	0	2	1
100132967	0	1	1	1	2	2
100132979	1	0	0	0	0	0
100132987	1	1	1	1	2	2
100132994	0	0	0	0	0	1
100132999	1	0	0	0	0	0
100133023	0	0	0	0	0	0
100133034	0	0	0	0	0	0
100133036	0	0	0	0	0	0
100133039	2	3	7	13	9	1
100133046	0	0	0	0	0	0
100133047	0	0	0	0	2	0
100133050	1	0	0	6	6	1
100133053	0	0	0	0	0	0
100133077	1	0	0	3	3	1
100133091	8	12	1	15	13	11
100133093	0	0	0	0	0	0
100133106	0	0	0	0	0	0
100133121	0	0	0	4	1	1
100133124	1	3	0	3	3	1
100133144	1	0	0	1	0	0
100133161	0	0	2	1	0	0
100133171	0	0	0	0	0	0
100133172	0	0	0	0	0	0
100133190	1	4	4	6	9	6
100133204	0	0	0	1	2	3
100133207	3	2	0	2	10	2
100133214	0	0	0	0	0	0
100133220	0	0	0	0	0	0
100133224	0	0	0	0	0	2
100133234	0	0	0	2	2	1
100133251	0	0	0	0	0	0
100133280	0	0	0	0	0	0
100133299	8	6	6	13	47	17
100133301	0	0	0	0	0	0
100133308	0	0	0	1	2	0
100133311	1	0	0	0	1	0
100133315	10	23	12	45	37	23
100133331	1	3	10	5	5	4
100133445	1	4	0	3	3	1
100133461	0	0	0	0	0	0
100133545	1	2	0	1	0	4
100133612	7	8	10	22	12	9
100133669	0	0	0	0	1	1
100133746	0	0	0	0	0	0
100133941	2074	2697	3644	4290	5261	3425
100133957	1	3	4	2	3	3
100133985	18	11	4	22	30	26
100133991	7	13	4	27	26	18
100134229	64	103	86	183	187	111
100134259	0	9	0	3	4	5
100134317	2	2	1	6	9	5
100134361	35	42	3	27	73	30
100134368	1	9	2	20	7	4
100134391	1	2	0	0	1	0
100134713	29	33	9	42	35	30
100134868	13	16	8	16	29	17
100134869	0	0	0	1	1	0
100134934	89	175	122	838	362	205
100134938	0	0	0	0	0	0
100137047	0	0	0	0	0	0
100137049	0	0	0	0	0	0
10014	27	32	24	111	55	28
100141515	0	0	0	0	2	1
100144596	0	0	0	0	0	2
100144597	0	0	0	0	0	0
100144602	4	8	0	0	10	2
100144603	0	3	0	9	2	3
100144604	9	1	4	16	9	2
100144748	254	170	21	118	246	148
100147744	27	20	5	10	22	23
100147773	19	20	20	55	49	33
10015	206	272	358	564	666	341
100151643	0	0	0	0	0	0
100151683	1	3	1	0	3	1
100151684	0	0	1	0	3	0
100158262	1	2	0	2	7	5
10016	102	494	448	383	1048	611
100169750	14	14	2	9	64	25
100169751	0	0	0	0	0	0
100169752	0	0	0	0	0	0
100169753	0	0	0	0	0	1
100169754	0	0	0	0	0	0
100169755	0	0	0	0	0	0
100169756	0	0	0	0	0	0
100169757	0	0	0	0	0	1
100169758	0	0	0	0	0	0
100169759	0	0	0	0	0	0
100169760	0	0	0	0	0	0
100169761	0	0	0	0	0	0
100169762	0	0	0	0	0	0
100169763	0	0	0	0	0	0
100169764	0	0	0	0	0	0
100169765	0	0	0	0	0	0
100169766	0	0	0	0	0	0
100169767	0	0	0	0	0	0
100169768	0	0	0	0	0	0
100169851	0	0	1	0	1	0
100169890	0	0	0	0	0	0
100169951	0	0	0	0	0	0
100169952	0	0	0	0	0	0
100169953	0	0	0	0	0	0
100169954	1	1	1	0	0	2
100169955	0	0	0	0	0	0
100169956	9	0	0	0	0	12
100169957	0	0	0	0	0	0
100169958	0	0	0	0	0	0
100169959	0	0	0	0	0	0
10017	2	4	1	10	13	5
100170216	0	0	0	0	0	0
100170217	0	0	0	0	0	0
100170218	0	0	0	0	0	0
100170219	0	0	1	0	0	0
100170220	5	11	1	0	6	4
100170221	0	0	0	0	2	0
100170222	0	0	0	0	0	0
100170223	0	0	0	0	0	0
100170224	5	6	4	0	1	2
100170225	0	0	0	0	0	0
100170226	4	0	0	1	1	0
100170227	0	0	0	0	0	0
100170228	1	2	3	2	0	1
100170229	2	0	6	3	7	1
100170765	0	0	1	1	1	0
100170841	7	2	4	7	7	1
100170939	5	4	3	13	17	17
10018	50	49	13	69	147	61
100187716	0	0	0	0	0	0
100188847	0	0	0	0	0	0
100188893	1630	2414	1095	2620	3594	2946
100188917	1	2	1	4	3	0
100188947	3	6	3	7	12	3
100188949	1	0	0	0	4	0
100188953	0	3	0	2	0	3
100188954	4	4	6	9	15	11
100189589	2	1	0	1	11	2
10019	77	122	79	113	173	140
100190938	4	10	0	2	25	8
100190939	17	10	20	27	30	19
100190940	3	1	0	0	7	2
100190949	0	0	1	0	1	0
100190986	3	6	2	11	14	7
100191040	2	0	1	3	2	1
100191063	0	0	0	0	0	0
100192204	0	4	1	7	5	4
100192378	0	0	0	0	3	0
100192379	1	0	0	0	1	1
100192386	0	3	0	3	4	8
100192420	2	1	1	3	6	0
100192426	0	1	5	7	4	3
1002	4	2	0	2	2	0
10020	1208	1196	102	422	1826	1182
10021	8	12	2	77	23	12
100216001	6	11	12	25	11	12
100216479	22	47	12	89	68	38
