"hgnc_symbol","entrezgene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id","description","Diabetes_Study_HitCount"
"REG1B",5968,177072.837529599,-3.575426264,0.870239166545359,-4.108555903,3.98140838434717e-05,0.0288782029375432,"ENSG00000172023","regenerating family member 1 beta [Source:HGNC Symbol;Acc:HGNC:9952]",11
"MST1R",4486,62.1838235918821,-3.684207301,0.869415950657637,-4.237565803,2.25956206986786e-05,0.0189590367417676,"ENSG00000164078","macrophage stimulating 1 receptor [Source:HGNC Symbol;Acc:HGNC:7381]",8
"ACTG1",71,403662.092914151,-4.446238585,0.927364686802532,-4.794487701,1.6309106954721e-06,0.0105906157613391,"ENSG00000291420","actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]",7
"ACTG1",71,403662.092914151,-4.446238585,0.927364686802532,-4.794487701,1.6309106954721e-06,0.0105906157613391,"ENSG00000184009","actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]",7
"SLC6A8",6535,117.245123523504,-3.055978485,0.81397677908179,-3.754380424,0.000173770775977608,0.0497201632765932,"ENSG00000130821","solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]",7
"HSPG2",3339,73.6586706172957,-3.068235123,0.714751193568211,-4.292731724,1.76488203763779e-05,0.0183125825070095,"ENSG00000142798","heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]",6
"PTPRH",5794,432.310286196197,-2.736662613,0.718693106397888,-3.807832005,0.000140190454455182,0.0475401407774685,"ENSG00000080031","protein tyrosine phosphatase receptor type H [Source:HGNC Symbol;Acc:HGNC:9672]",6
"STEAP3",55240,263.777485134963,-3.265181349,0.815513637071146,-4.003834149,6.23240656159165e-05,0.0335531385856375,"ENSG00000115107","STEAP3 metalloreductase [Source:HGNC Symbol;Acc:HGNC:24592]",6
"KPNA7",402569,119.263852058451,-4.032469195,0.935789066513934,-4.309164682,1.63872313628149e-05,0.0183125825070095,"ENSG00000185467","karyopherin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:21839]",5
"KPNA7",402569,119.263852058451,-4.032469195,0.935789066513934,-4.309164682,1.63872313628149e-05,0.0183125825070095,"ENSG00000284068","karyopherin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:21839]",5
"MCM5",4174,294.25185542567,-3.027944877,0.71485171659779,-4.235766393,2.27773486412673e-05,0.0189590367417676,"ENSG00000100297","minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]",4
"TUBB6",84617,1653.55491807217,-3.186850771,0.84192842063544,-3.78518018,0.000153597252015286,0.0479097610671217,"ENSG00000176014","tubulin beta 6 class V [Source:HGNC Symbol;Acc:HGNC:20776]",4
"ITGA3",3675,416.7139339,-2.767581136,0.696397292429983,-3.974141149,7.06336679950583e-05,0.0340379928506713,"ENSG00000005884","integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]",3
"FLNA",2316,177.305378197936,-3.494763789,0.799022584026148,-4.373798512,1.22103083960495e-05,0.0183125825070095,"ENSG00000196924","filamin A [Source:HGNC Symbol;Acc:HGNC:3754]",2
"EEF1D",1936,8374.55902916363,-2.565436803,0.676790838658893,-3.790590322,0.000150289667339473,0.0479097610671217,"ENSG00000273594","eukaryotic translation elongation factor 1 delta [Source:HGNC Symbol;Acc:HGNC:3211]",1
"EEF1D",1936,8374.55902916363,-2.565436803,0.676790838658893,-3.790590322,0.000150289667339473,0.0479097610671217,"ENSG00000104529","eukaryotic translation elongation factor 1 delta [Source:HGNC Symbol;Acc:HGNC:3211]",1
"TUBA4A",7277,13395.7289317701,-2.540609518,0.629417987439475,-4.036442505,5.42678171004943e-05,0.0310547583357579,"ENSG00000127824","tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]",1
"",84798,1527.69341894661,-3.150499502,0.789520408363631,-3.990396535,6.59629198931274e-05,0.0335531385856375,"ENSG00000293495","multidrug resistance-related protein [Source:NCBI gene (formerly Entrezgene);Acc:84798]",0
"ACTB",60,397289.855706158,-3.932242186,0.852221895509211,-4.614106028,3.94790860557859e-06,0.0105906157613391,"ENSG00000075624","actin beta [Source:HGNC Symbol;Acc:HGNC:132]",0
"EIF3C",728689,91.9410688701267,-3.131437139,0.683565017614516,-4.581037734,4.6267434518738e-06,0.0105906157613391,"ENSG00000184110","eukaryotic translation initiation factor 3 subunit C [Source:HGNC Symbol;Acc:HGNC:3279]",0
"H2BC4",8347,344.172403597779,-3.627790815,0.884447740096948,-4.10175825,4.10022540616056e-05,0.0288782029375432,"ENSG00000180596","H2B clustered histone 4 [Source:HGNC Symbol;Acc:HGNC:4757]",0
"PGGHG",80162,84.4190101658395,-3.164535687,0.816085278874013,-3.877702208,0.000105447676577373,0.0424895662035793,"ENSG00000142102","protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210]",0
"TUBB4B",10383,4828.53072230098,-2.639194999,0.682955588142636,-3.864372801,0.000111375009707941,0.0424895662035793,"ENSG00000188229","tubulin beta 4B class IVb [Source:HGNC Symbol;Acc:HGNC:20771]",0
NA,100505562,154.502996247065,-2.209480875,0.576803900440078,-3.830558138,0.000127852919271929,0.0450238972636069,NA,NA,0
